#{"t_start": 1781856978.2918658, "env_id": "CartPole-v1"}
r,l,t
14.0,14,0.134034
26.0,26,0.136031
42.0,42,0.13903
32.0,32,0.142064
42.0,42,0.147025
52.0,52,0.152025
28.0,28,0.154025
24.0,24,0.156025
26.0,26,0.16903
20.0,20,0.17103
23.0,23,0.17303
23.0,23,0.17503
25.0,25,0.179025
24.0,24,0.181025
9.0,9,0.182025
11.0,11,0.183025
16.0,16,0.185865
15.0,15,0.187872
14.0,14,0.188871
26.0,26,0.190871
23.0,23,0.203948
11.0,11,0.211949
17.0,17,0.223955
19.0,19,0.243949
31.0,31,0.267949
13.0,13,0.276949
36.0,36,0.297949
19.0,19,0.312949
26.0,26,0.331946
10.0,10,0.338947
34.0,34,0.363946
12.0,12,0.372949
26.0,26,0.391946
20.0,20,0.402946
13.0,13,0.409948
13.0,13,0.417946
14.0,14,0.431949
23.0,23,0.446949
20.0,20,0.467949
33.0,33,0.49395
35.0,35,0.530952
10.0,10,0.544948
29.0,29,0.578948
18.0,18,0.59595
16.0,16,0.613948
17.0,17,0.629948
14.0,14,0.642949
19.0,19,0.662949
11.0,11,0.684949
13.0,13,0.703948
10.0,10,0.719948
17.0,17,0.73895
14.0,14,0.752949
41.0,41,0.79295
10.0,10,0.800951
13.0,13,0.810947
17.0,17,0.828949
15.0,15,0.837949
21.0,21,0.854954
15.0,15,0.862953
26.0,26,0.885949
9.0,9,0.890948
18.0,18,0.908947
14.0,14,0.917948
18.0,18,0.941948
17.0,17,0.956949
19.0,19,0.97495
18.0,18,0.995955
11.0,11,1.032948
25.0,25,1.066947
13.0,13,1.083956
18.0,18,1.114951
47.0,47,1.210953
22.0,22,1.242954
27.0,27,1.290962
15.0,15,1.310964
21.0,21,1.348951
21.0,21,1.383954
25.0,25,1.413955
10.0,10,1.427954
11.0,11,1.453955
16.0,16,1.487952
10.0,10,1.500951
11.0,11,1.520956
13.0,13,1.543951
21.0,21,1.576952
22.0,22,1.621954
17.0,17,1.646955
11.0,11,1.671958
10.0,10,1.689949
28.0,28,1.739957
15.0,15,1.776952
12.0,12,1.817954
17.0,17,1.844956
34.0,34,1.902954
43.0,43,1.984954
11.0,11,2.003951
12.0,12,2.022954
29.0,29,2.086962
27.0,27,2.123955
51.0,51,2.230952
21.0,21,2.287954
29.0,29,2.336954
10.0,10,2.355953
14.0,14,2.403949
11.0,11,2.424958
12.0,12,2.445955
20.0,20,2.479954
27.0,27,2.537955
12.0,12,2.560954
37.0,37,2.627954
10.0,10,2.646959
15.0,15,2.677953
23.0,23,2.718954
12.0,12,2.738955
36.0,36,2.802558
13.0,13,2.852468
