#{"t_start": 1781994639.7331696, "env_id": "CartPole-v1"}
r,l,t
18.0,18,0.393858
14.0,14,0.39986
50.0,50,0.419399
39.0,39,0.435941
14.0,14,0.496869
31.0,31,0.50587
49.0,49,0.522273
32.0,32,0.531844
37.0,37,0.553921
27.0,27,0.560816
12.0,12,0.563832
24.0,24,0.572367
15.0,15,0.600472
37.0,37,0.617008
27.0,27,0.628617
17.0,17,0.638157
14.0,14,0.648171
16.0,16,0.652691
14.0,14,0.655713
20.0,20,0.663621
16.0,16,0.676167
36.0,36,0.685801
11.0,11,0.688806
26.0,26,0.696347
15.0,15,0.716738
24.0,24,0.726742
19.0,19,0.767358
17.0,17,0.804413
29.0,29,0.893703
21.0,21,0.968447
15.0,15,1.00252
14.0,14,1.04141
13.0,13,1.100008
13.0,13,1.136839
23.0,23,1.21622
14.0,14,1.248037
25.0,25,1.309034
31.0,31,1.390896
18.0,18,1.45251
19.0,19,1.504052
26.0,26,1.587488
15.0,15,1.622933
17.0,17,1.656514
11.0,11,1.700227
31.0,31,1.853693
19.0,19,1.937433
13.0,13,1.970093
17.0,17,2.007154
24.0,24,2.087293
15.0,15,2.129143
12.0,12,2.158227
33.0,33,2.257387
19.0,19,2.326089
17.0,17,2.366851
34.0,34,2.456162
22.0,22,2.503361
29.0,29,2.603273
15.0,15,2.655338
13.0,13,2.681869
9.0,9,2.703899
26.0,26,2.782474
18.0,18,2.833485
22.0,22,2.886895
27.0,27,2.972959
20.0,20,3.056095
19.0,19,3.102185
11.0,11,3.125718
16.0,16,3.169377
24.0,24,3.24021
18.0,18,3.297282
14.0,14,3.329879
19.0,19,3.380593
33.0,33,3.477523
21.0,21,3.540341
29.0,29,3.606609
17.0,17,3.655089
12.0,12,3.696696
33.0,33,3.791381
26.0,26,3.85288
21.0,21,3.910281
18.0,18,3.95498
13.0,13,4.000607
22.0,22,4.05423
25.0,25,4.135593
15.0,15,4.172271
20.0,20,4.215639
19.0,19,4.265386
37.0,37,4.33735
17.0,17,4.407593
24.0,24,4.477559
27.0,27,4.545225
12.0,12,4.576301
16.0,16,4.63199
18.0,18,4.67799
44.0,44,4.801984
18.0,18,4.86599
24.0,24,4.929987
11.0,11,4.97299
12.0,12,5.002989
25.0,25,5.061993
36.0,36,5.167988
35.0,35,5.268991
13.0,13,5.299989
18.0,18,5.35499
18.0,18,5.40099
23.0,23,5.467989
26.0,26,5.53899
18.0,18,5.574991
11.0,11,5.606988
36.0,36,5.696989
18.0,18,5.73699
21.0,21,5.799989
37.0,37,5.89899
17.0,17,5.93399
22.0,22,6.002989
13.0,13,6.02799
17.0,17,6.070989
15.0,15,6.118988
21.0,21,6.161987
20.0,20,6.205988
17.0,17,6.25899
27.0,27,6.31799
14.0,14,6.36399
31.0,31,6.424989
16.0,16,6.48799
19.0,19,6.52999
12.0,12,6.554989
34.0,34,6.644989
25.0,25,6.714989
21.0,21,6.75899
34.0,34,6.852069
46.0,46,6.960069
35.0,35,7.059067
22.0,22,7.104069
15.0,15,7.152069
75.0,75,7.322069
12.0,12,7.354069
19.0,19,7.408067
26.0,26,7.457069
11.0,11,7.480067
38.0,38,7.568076
11.0,11,7.589062
13.0,13,7.626064
32.0,32,7.686062
41.0,41,7.788068
37.0,37,7.868077
23.0,23,7.909067
11.0,11,7.920068
36.0,36,8.002077
9.0,9,8.023069
19.0,19,8.070066
15.0,15,8.105068
29.0,29,8.185095
24.0,24,8.232069
22.0,22,8.289069
15.0,15,8.325068
23.0,23,8.368069
20.0,20,8.422068
40.0,40,8.514066
25.0,25,8.557063
17.0,17,8.595063
13.0,13,8.613063
22.0,22,8.667067
23.0,23,8.703067
37.0,37,8.793069
12.0,12,8.809068
18.0,18,8.837063
11.0,11,8.863071
17.0,17,8.913067
55.0,55,9.030068
57.0,57,9.148069
20.0,20,9.187068
37.0,37,9.288067
17.0,17,9.347687
21.0,21,9.393282
14.0,14,9.424815
32.0,32,9.519871
10.0,10,9.548197
35.0,35,9.645248
12.0,12,9.67039
70.0,70,9.86321
8.0,8,9.882469
16.0,16,9.919544
48.0,48,10.045837
23.0,23,10.125931
21.0,21,10.170005
18.0,18,10.223626
17.0,17,10.252963
9.0,9,10.281745
20.0,20,10.340852
23.0,23,10.441631
45.0,45,10.56544
23.0,23,10.627439
21.0,21,10.684436
43.0,43,10.751438
35.0,35,10.853442
45.0,45,10.958435
12.0,12,10.974436
20.0,20,11.034437
32.0,32,11.10644
17.0,17,11.161442
19.0,19,11.197441
45.0,45,11.290438
22.0,22,11.36144
35.0,35,11.442447
43.0,43,11.517437
47.0,47,11.635441
44.0,44,11.752437
19.0,19,11.805441
14.0,14,11.844438
33.0,33,11.922436
19.0,19,11.996442
34.0,34,12.102437
13.0,13,12.126446
21.0,21,12.165437
48.0,48,12.278441
12.0,12,12.32644
29.0,29,12.38844
32.0,32,12.46844
29.0,29,12.54844
24.0,24,12.605437
20.0,20,12.650442
59.0,59,12.803437
32.0,32,12.894439
47.0,47,13.02144
36.0,36,13.105437
33.0,33,13.220439
15.0,15,13.284439
44.0,44,13.405439
16.0,16,13.44044
33.0,33,13.527441
25.0,25,13.61644
22.0,22,13.687437
21.0,21,13.745437
10.0,10,13.768439
12.0,12,13.799439
14.0,14,13.84744
37.0,37,13.94944
40.0,40,14.037439
17.0,17,14.094437
50.0,50,14.238439
14.0,14,14.273439
27.0,27,14.352437
61.0,61,14.505439
34.0,34,14.611439
33.0,33,14.718439
89.0,89,14.970439
10.0,10,14.988439
17.0,17,15.057442
25.0,25,15.120436
10.0,10,15.159437
20.0,20,15.210437
10.0,10,15.243432
27.0,27,15.327441
22.0,22,15.391441
81.0,81,15.584963
21.0,21,15.671983
46.0,46,15.80398
17.0,17,15.854985
19.0,19,15.897982
8.0,8,15.926985
26.0,26,16.011983
33.0,33,16.084983
31.0,31,16.171988
77.0,77,16.365981
13.0,13,16.393983
21.0,21,16.451982
22.0,22,16.508982
13.0,13,16.54398
31.0,31,16.625985
22.0,22,16.671983
58.0,58,16.813978
50.0,50,16.942066
10.0,10,16.962068
20.0,20,17.011064
32.0,32,17.081074
37.0,37,17.188068
30.0,30,17.273068
31.0,31,17.336069
27.0,27,17.409067
29.0,29,17.492066
23.0,23,17.544069
19.0,19,17.580063
26.0,26,17.64307
15.0,15,17.683071
70.0,70,17.871077
24.0,24,17.920068
72.0,72,18.106069
92.0,92,18.347069
36.0,36,18.426069
66.0,66,18.582067
13.0,13,18.614069
41.0,41,18.747075
37.0,37,18.815071
13.0,13,18.855067
52.0,52,18.994066
24.0,24,19.044067
10.0,10,19.080068
20.0,20,19.231067
55.0,55,19.365069
48.0,48,19.478066
31.0,31,19.546062
46.0,46,19.665071
52.0,52,19.789066
32.0,32,19.862067
53.0,53,20.004069
15.0,15,20.045068
73.0,73,20.263069
22.0,22,20.323068
12.0,12,20.365069
21.0,21,20.42607
12.0,12,20.476068
14.0,14,20.521067
18.0,18,20.57607
31.0,31,20.662067
24.0,24,20.736068
41.0,41,20.861069
38.0,38,20.964069
18.0,18,21.008069
64.0,64,21.189615
19.0,19,21.238615
17.0,17,21.303616
26.0,26,21.366615
17.0,17,21.420616
12.0,12,21.456615
21.0,21,21.529614
90.0,90,21.764616
87.0,87,22.014616
12.0,12,22.049616
13.0,13,22.078614
59.0,59,22.263198
31.0,31,22.375714
37.0,37,22.512639
25.0,25,22.573858
11.0,11,22.620608
40.0,40,22.741175
19.0,19,22.801535
16.0,16,22.853104
28.0,28,22.927728
16.0,16,22.989249
80.0,80,23.229211
18.0,18,23.267283
50.0,50,23.389845
27.0,27,23.452727
35.0,35,23.57111
41.0,41,23.670477
21.0,21,23.730808
12.0,12,23.757304
28.0,28,23.827427
25.0,25,23.894161
13.0,13,23.920609
54.0,54,24.057338
39.0,39,24.144214
13.0,13,24.196706
45.0,45,24.278019
78.0,78,24.462751
37.0,37,24.566898
33.0,33,24.637813
56.0,56,24.800918
34.0,34,24.871518
47.0,47,24.991517
19.0,19,25.040516
17.0,17,25.073517
13.0,13,25.092517
34.0,34,25.182515
14.0,14,25.212518
18.0,18,25.265511
40.0,40,25.336519
21.0,21,25.392514
28.0,28,25.444511
63.0,63,25.605515
15.0,15,25.631509
50.0,50,25.737512
48.0,48,25.841511
31.0,31,25.898517
41.0,41,25.993516
16.0,16,26.047517
24.0,24,26.085517
113.0,113,26.322515
12.0,12,26.341516
50.0,50,26.470518
20.0,20,26.517519
31.0,31,26.576524
37.0,37,26.66807
30.0,30,26.749068
52.0,52,26.871146
67.0,67,27.025147
39.0,39,27.124147
26.0,26,27.193145
50.0,50,27.314145
15.0,15,27.341138
16.0,16,27.372145
23.0,23,27.426152
58.0,58,27.54714
40.0,40,27.628148
40.0,40,27.720147
67.0,67,27.884149
91.0,91,28.07814
39.0,39,28.179148
63.0,63,28.348679
72.0,72,28.528303
18.0,18,28.578301
15.0,15,28.612296
19.0,19,28.667301
23.0,23,28.739301
27.0,27,28.7923
14.0,14,28.8293
19.0,19,28.8633
19.0,19,28.9213
31.0,31,28.999301
23.0,23,29.055303
15.0,15,29.089308
147.0,147,29.428303
61.0,61,29.589302
24.0,24,29.645302
54.0,54,29.774301
12.0,12,29.816298
97.0,97,30.040303
46.0,46,30.144303
70.0,70,30.314303
17.0,17,30.367299
31.0,31,30.442301
47.0,47,30.556297
30.0,30,30.62531
14.0,14,30.666304
23.0,23,30.720301
10.0,10,30.736303
81.0,81,30.939301
47.0,47,31.058303
45.0,45,31.182302
23.0,23,31.244304
51.0,51,31.376302
26.0,26,31.446295
44.0,44,31.563303
58.0,58,31.712306
40.0,40,31.805295
49.0,49,31.968304
75.0,75,32.187851
21.0,21,32.253853
25.0,25,32.350851
64.0,64,32.522852
38.0,38,32.615852
35.0,35,32.717853
19.0,19,32.75385
92.0,92,32.98909
10.0,10,33.011293
